,Product_ID,Product_Category,price$,storeID,supplierID,storeName,supplierName
157,P00275642,Toys,67.92,3,39,Sound Zone,Sonos Inc.
158,P00278642,Health & Beauty,32.87,2,13,Tech Haven,Samsung Electronics
160,P00322042,Health & Beauty,53.13,5,18,InnoTech,Razer Inc.
161,P00216342,Home & Kitchen,35.0,3,39,Sound Zone,Sonos Inc.
162,P00329342,Health & Beauty,60.92,1,16,Electro Mart,Sony Corporation
163,P00332342,Health & Beauty,18.79,4,18,Game Zone,Razer Inc.
165,P00111742,Office & School Supplies,21.64,5,18,InnoTech,Razer Inc.
166,P00293742,Toys,17.33,3,39,Sound Zone,Sonos Inc.
167,P00032842,Toys,4.1,1,16,Electro Mart,Sony Corporation
168,P00216142,Grocery,40.75,4,18,Game Zone,Razer Inc.
169,P00001642,Toys,16.82,1,16,Electro Mart,Sony Corporation
170,P00351842,Health & Beauty,30.74,3,39,Sound Zone,Sonos Inc.
171,P00145442,Toys,18.32,3,39,Sound Zone,Sonos Inc.
172,P00344242,Toys,41.74,2,13,Tech Haven,Samsung Electronics
173,P00327242,Health & Beauty,18.64,51,51,Pakistan,Pakistan
174,P00241142,Toys,62.98,4,18,Game Zone,Razer Inc.
175,P00219242,Clothing,28.53,6,9,Photo World,Canon Inc.
176,P00057342,Clothing,34.38,5,18,InnoTech,Razer Inc.
177,P00165742,Toys,2.96,7,17,Health Zone,Garmin Ltd.
178,P00154642,Toys,54.74,5,18,InnoTech,Razer Inc.
179,P00192942,Health & Beauty,5.61,5,18,InnoTech,Razer Inc.
180,P00247042,Health & Beauty,67.86,3,39,Sound Zone,Sonos Inc.
181,P00150542,Health & Beauty,38.26,3,39,Sound Zone,Sonos Inc.
182,P00347142,Health & Beauty,32.78,4,18,Game Zone,Razer Inc.
183,P00326742,Patio & Garden,13.24,1,16,Electro Mart,Sony Corporation
185,P00330442,Health & Beauty,35.14,4,18,Game Zone,Razer Inc.
186,P00327842,Toys,74.56,7,17,Health Zone,Garmin Ltd.
187,P00218342,Health & Beauty,41.87,2,13,Tech Haven,Samsung Electronics
188,P00259042,Health & Beauty,44.2,4,18,Game Zone,Razer Inc.
189,P00102542,Toys,58.33,6,9,Photo World,Canon Inc.
191,P00121142,Toys,18.25,2,13,Tech Haven,Samsung Electronics
192,P00228242,Toys,34.94,3,39,Sound Zone,Sonos Inc.
194,P00309542,Health & Beauty,19.35,1,16,Electro Mart,Sony Corporation
195,P00106742,Home & Kitchen,71.62,1,16,Electro Mart,Sony Corporation
196,P00102642,Clothing,24.35,4,18,Game Zone,Razer Inc.
197,P00127442,Grocery,5.72,1,16,Electro Mart,Sony Corporation
198,P00345642,Grocery,68.57,4,18,Game Zone,Razer Inc.
199,P00357842,Health & Beauty,76.89,5,18,InnoTech,Razer Inc.
200,P00115342,Health & Beauty,25.17,3,39,Sound Zone,Sonos Inc.
201,P00174442,Health & Beauty,56.44,2,13,Tech Haven,Samsung Electronics
202,P00282642,Health & Beauty,21.63,6,9,Photo World,Canon Inc.
204,P00037142,Grocery,64.57,4,18,Game Zone,Razer Inc.
205,P00192042,Health & Beauty,3.85,1,16,Electro Mart,Sony Corporation
206,P00197542,Health & Beauty,5.61,3,39,Sound Zone,Sonos Inc.
207,P00048742,Health & Beauty,45.6,2,13,Tech Haven,Samsung Electronics
208,P00110142,Baby,77.74,3,39,Sound Zone,Sonos Inc.
209,P00120842,Toys,23.99,4,18,Game Zone,Razer Inc.
210,P00267742,Health & Beauty,20.6,6,9,Photo World,Canon Inc.
211,P00086442,Toys,63.33,4,18,Game Zone,Razer Inc.
212,P00331842,"Arts, Crafts & Sewing",46.93,5,18,InnoTech,Razer Inc.
213,P00288642,"Arts, Crafts & Sewing",8.06,4,18,Game Zone,Razer Inc.
214,P00318742,Grocery,75.22,3,39,Sound Zone,Sonos Inc.
215,P00028442,Grocery,48.26,6,9,Photo World,Canon Inc.
216,P00208342,Grocery,17.0,2,13,Tech Haven,Samsung Electronics
218,P00277442,Grocery,23.93,4,18,Game Zone,Razer Inc.
219,P00085242,Toys,78.38,2,13,Tech Haven,Samsung Electronics
220,P00279442,"Arts, Crafts & Sewing",56.58,7,17,Health Zone,Garmin Ltd.
222,P00235242,Toys,58.46,2,13,Tech Haven,Samsung Electronics
223,P00251542,Patio & Garden,34.35,7,17,Health Zone,Garmin Ltd.
225,P00003242,Toys,26.18,1,16,Electro Mart,Sony Corporation
226,P00221542,Health & Beauty,10.31,6,9,Photo World,Canon Inc.
227,P00142142,Grocery,45.16,3,39,Sound Zone,Sonos Inc.
228,P00044442,Grocery,73.99,3,39,Sound Zone,Sonos Inc.
229,P00147742,Grocery,46.42,5,18,InnoTech,Razer Inc.
230,P00030942,Clothing,55.34,3,39,Sound Zone,Sonos Inc.
231,P00288042,Toys,26.76,2,13,Tech Haven,Samsung Electronics
232,P00313142,Toys,22.66,5,18,InnoTech,Razer Inc.
233,P00195442,Health & Beauty,5.38,3,39,Sound Zone,Sonos Inc.
234,P00255842,"Arts, Crafts & Sewing",30.89,1,16,Electro Mart,Sony Corporation
235,P00112142,Grocery,16.26,4,18,Game Zone,Razer Inc.
236,P00120342,Health & Beauty,58.58,5,18,InnoTech,Razer Inc.
237,P00110542,Toys,62.61,3,39,Sound Zone,Sonos Inc.
238,P00279942,Toys,17.35,1,16,Electro Mart,Sony Corporation
239,P00303742,Toys,47.47,4,18,Game Zone,Razer Inc.
242,P00316742,Clothing,71.04,1,16,Electro Mart,Sony Corporation
244,P00115242,Health & Beauty,48.23,3,39,Sound Zone,Sonos Inc.
246,P00302842,Toys,39.37,3,39,Sound Zone,Sonos Inc.
248,P00066442,Health & Beauty,60.78,2,13,Tech Haven,Samsung Electronics
249,P00273442,Pets,64.08,51,51,Pakistan,Pakistan
250,P00210142,Appliances,3.6,4,18,Game Zone,Razer Inc.
251,P00212542,Toys,54.08,6,9,Photo World,Canon Inc.
252,P00321742,Health & Beauty,7.67,5,18,InnoTech,Razer Inc.
253,P00020042,Health & Beauty,8.32,7,17,Health Zone,Garmin Ltd.
254,P00051942,Health & Beauty,6.39,5,18,InnoTech,Razer Inc.
256,P00303542,Health & Beauty,5.17,5,18,InnoTech,Razer Inc.
257,P00228142,Health & Beauty,34.92,3,39,Sound Zone,Sonos Inc.
258,P00123142,Patio & Garden,70.54,3,39,Sound Zone,Sonos Inc.
259,P00079542,Health & Beauty,7.59,4,18,Game Zone,Razer Inc.
260,P00103142,Grocery,57.78,1,16,Electro Mart,Sony Corporation
261,P00305542,Patio & Garden,4.18,4,18,Game Zone,Razer Inc.
262,P00031042,Toys,58.19,7,17,Health Zone,Garmin Ltd.
263,P00260042,Health & Beauty,18.9,2,13,Tech Haven,Samsung Electronics
264,P00055642,Clothing,29.19,4,18,Game Zone,Razer Inc.
265,P00312742,Office & School Supplies,28.97,6,9,Photo World,Canon Inc.
266,P00010742,Grocery,2.74,2,13,Tech Haven,Samsung Electronics
269,P00223242,Health & Beauty,10.75,3,39,Sound Zone,Sonos Inc.
270,P00114942,Grocery,28.48,1,16,Electro Mart,Sony Corporation
272,P00183242,Health & Beauty,4.16,1,16,Electro Mart,Sony Corporation
273,P00030842,Grocery,58.69,4,18,Game Zone,Razer Inc.
274,P00220142,Grocery,54.15,1,16,Electro Mart,Sony Corporation
275,P00130442,Home & Kitchen,8.57,4,18,Game Zone,Razer Inc.
276,P00323042,Health & Beauty,70.84,5,18,InnoTech,Razer Inc.
277,P00344742,Health & Beauty,29.15,3,39,Sound Zone,Sonos Inc.
278,P00182442,Health & Beauty,8.67,2,13,Tech Haven,Samsung Electronics
279,P00015342,Electronics,62.37,6,9,Photo World,Canon Inc.
282,P00103042,Grocery,64.0,4,18,Game Zone,Razer Inc.
283,P00187842,Grocery,64.08,1,16,Electro Mart,Sony Corporation
284,P00162442,Grocery,40.88,3,39,Sound Zone,Sonos Inc.
285,P00078542,Grocery,53.98,2,13,Tech Haven,Samsung Electronics
287,P00324442,Patio & Garden,3.0,3,39,Sound Zone,Sonos Inc.
288,P00041642,Health & Beauty,78.82,4,18,Game Zone,Razer Inc.
289,P00050542,Health & Beauty,71.49,6,9,Photo World,Canon Inc.
290,P00006442,Health & Beauty,34.99,4,18,Game Zone,Razer Inc.
292,P00350942,Home & Kitchen,36.11,5,18,InnoTech,Razer Inc.
293,P00000142,Home & Kitchen,27.8,4,18,Game Zone,Razer Inc.
295,P00034042,Grocery,71.33,3,39,Sound Zone,Sonos Inc.
296,P00143142,Toys,4.94,6,9,Photo World,Canon Inc.
297,P00317942,Toys,17.52,2,13,Tech Haven,Samsung Electronics
298,P00335542,Toys,2.93,4,18,Game Zone,Razer Inc.
299,P00361842,Office & School Supplies,65.78,2,13,Tech Haven,Samsung Electronics
300,P00147942,Grocery,32.82,7,17,Health Zone,Garmin Ltd.
303,P00028042,Grocery,58.24,2,13,Tech Haven,Samsung Electronics
304,P00117542,"Books, Movies & Music",70.54,7,17,Health Zone,Garmin Ltd.
306,P00130742,Grocery,74.48,1,16,Electro Mart,Sony Corporation
307,P00024142,Toys,31.17,6,9,Photo World,Canon Inc.
309,P00209742,Grocery,39.84,3,39,Sound Zone,Sonos Inc.
310,P00160042,Grocery,51.32,3,39,Sound Zone,Sonos Inc.
311,P00042342,Toys,51.4,5,18,InnoTech,Razer Inc.
312,P00016542,Grocery,36.82,3,39,Sound Zone,Sonos Inc.
313,P00016742,Grocery,56.15,2,13,Tech Haven,Samsung Electronics
314,P00227642,Grocery,8.92,5,18,InnoTech,Razer Inc.
315,P00146142,Grocery,78.98,3,39,Sound Zone,Sonos Inc.
316,P00070542,Home & Kitchen,39.09,1,16,Electro Mart,Sony Corporation
317,P00129842,Household Essentials,15.42,4,18,Game Zone,Razer Inc.
318,P00243942,Grocery,51.98,5,18,InnoTech,Razer Inc.
319,P00246742,Patio & Garden,76.73,3,39,Sound Zone,Sonos Inc.
320,P00310142,Health & Beauty,29.17,1,16,Electro Mart,Sony Corporation
321,P00244142,Grocery,25.49,4,18,Game Zone,Razer Inc.
323,P00190142,Home & Kitchen,57.15,1,16,Electro Mart,Sony Corporation
324,P00109242,Household Essentials,50.3,3,39,Sound Zone,Sonos Inc.
325,P00089342,Toys,66.54,3,39,Sound Zone,Sonos Inc.
326,P00288542,Toys,7.75,2,13,Tech Haven,Samsung Electronics
327,P00212242,Toys,51.54,51,51,Pakistan,Pakistan
328,P00319342,Health & Beauty,77.4,4,18,Game Zone,Razer Inc.
329,P00302942,Toys,61.3,6,9,Photo World,Canon Inc.
330,P00145942,Household Essentials,49.21,5,18,InnoTech,Razer Inc.
331,P00026342,Toys,49.1,7,17,Health Zone,Garmin Ltd.
332,P00148842,Household Essentials,11.1,5,18,InnoTech,Razer Inc.
333,P00299842,Toys,48.32,5,18,InnoTech,Razer Inc.
334,P00313342,Health & Beauty,9.56,3,39,Sound Zone,Sonos Inc.
335,P00102442,Toys,19.05,3,39,Sound Zone,Sonos Inc.
336,P00237542,Grocery,3.97,4,18,Game Zone,Razer Inc.
338,P0099342,Health & Beauty,58.54,1,16,Electro Mart,Sony Corporation
339,P00171542,Electronics,35.86,4,18,Game Zone,Razer Inc.
341,P00350342,Grocery,36.32,7,17,Health Zone,Garmin Ltd.
342,P00110742,Grocery,2.68,2,13,Tech Haven,Samsung Electronics
343,P00117642,Automotive,63.99,4,18,Game Zone,Razer Inc.
344,P00114142,Toys,9.04,6,9,Photo World,Canon Inc.
345,P00119142,Home & Kitchen,24.61,2,13,Tech Haven,Samsung Electronics
346,P00280742,Household Essentials,58.29,3,39,Sound Zone,Sonos Inc.
347,P00271142,Health & Beauty,61.83,1,16,Electro Mart,Sony Corporation
349,P00003942,Health & Beauty,57.49,1,16,Electro Mart,Sony Corporation
352,P00151742,Toys,22.74,4,18,Game Zone,Razer Inc.
354,P00050642,Office & School Supplies,18.46,1,16,Electro Mart,Sony Corporation
355,P00114742,Toys,22.27,4,18,Game Zone,Razer Inc.
356,P00113942,Toys,7.41,5,18,InnoTech,Razer Inc.
357,P00120942,Toys,79.62,3,39,Sound Zone,Sonos Inc.
358,P00083842,Health & Beauty,44.68,2,13,Tech Haven,Samsung Electronics
360,P00317842,Toys,39.38,6,9,Photo World,Canon Inc.
361,P00030642,Toys,37.89,4,18,Game Zone,Razer Inc.
362,P00273642,Toys,56.66,1,16,Electro Mart,Sony Corporation
363,P00002542,Toys,31.61,3,39,Sound Zone,Sonos Inc.
364,P00331642,Pets,78.19,2,13,Tech Haven,Samsung Electronics
365,P00331242,Pets,33.94,3,39,Sound Zone,Sonos Inc.
366,P0096442,Clothing,30.3,4,18,Game Zone,Razer Inc.
367,P00050242,Toys,2.57,6,9,Photo World,Canon Inc.
368,P00131942,Baby,26.81,4,18,Game Zone,Razer Inc.
371,P00132042,Furniture,16.3,5,18,InnoTech,Razer Inc.
373,P00013742,Health & Beauty,61.84,4,18,Game Zone,Razer Inc.
375,P00119342,Automotive,28.96,3,39,Sound Zone,Sonos Inc.
376,P00182142,Grocery,61.25,6,9,Photo World,Canon Inc.
377,P00188942,Toys,43.1,2,13,Tech Haven,Samsung Electronics
378,P00203142,"Arts, Crafts & Sewing",59.58,4,18,Game Zone,Razer Inc.
379,P00320442,Household Essentials,68.79,2,13,Tech Haven,Samsung Electronics
380,P00121642,Health & Beauty,9.13,7,17,Health Zone,Garmin Ltd.
381,P00289542,Toys,36.89,2,13,Tech Haven,Samsung Electronics
382,P00329742,Household Essentials,10.97,7,17,Health Zone,Garmin Ltd.
383,P00326642,Toys,69.84,1,16,Electro Mart,Sony Corporation
385,P00336142,Health & Beauty,19.87,6,9,Photo World,Canon Inc.
386,P00111442,Toys,5.43,3,39,Sound Zone,Sonos Inc.
388,P00234742,Toys,22.58,3,39,Sound Zone,Sonos Inc.
390,P00090842,Patio & Garden,11.37,5,18,InnoTech,Razer Inc.
391,P00214542,Toys,11.41,3,39,Sound Zone,Sonos Inc.
392,P00110942,Grocery,2.29,2,13,Tech Haven,Samsung Electronics
393,P00289942,Home & Kitchen,6.4,5,18,InnoTech,Razer Inc.
396,P00104842,Toys,60.84,3,39,Sound Zone,Sonos Inc.
397,P00113142,Grocery,12.87,1,16,Electro Mart,Sony Corporation
398,P00177942,Health & Beauty,63.29,4,18,Game Zone,Razer Inc.
399,P00265242,Health & Beauty,38.48,5,18,InnoTech,Razer Inc.
400,P00118142,Toys,58.34,3,39,Sound Zone,Sonos Inc.
401,P00003642,Toys,45.63,1,16,Electro Mart,Sony Corporation
402,P00178342,Toys,75.84,4,18,Game Zone,Razer Inc.
403,P00289742,Toys,24.26,1,16,Electro Mart,Sony Corporation
404,P00085042,Health & Beauty,71.87,3,39,Sound Zone,Sonos Inc.
407,P00041542,Toys,43.91,3,39,Sound Zone,Sonos Inc.
408,P00249142,Health & Beauty,39.65,2,13,Tech Haven,Samsung Electronics
409,P00284042,Toys,18.64,51,51,Pakistan,Pakistan
410,P00165442,Grocery,11.17,4,18,Game Zone,Razer Inc.
411,P00115942,Toys,22.66,6,9,Photo World,Canon Inc.
417,P00074442,Grocery,30.67,5,18,InnoTech,Razer Inc.
418,P00047242,Grocery,57.89,7,17,Health Zone,Garmin Ltd.
419,P00199042,Grocery,36.38,5,18,InnoTech,Razer Inc.
420,P00192542,Grocery,57.4,5,18,InnoTech,Razer Inc.
422,P00350042,Household Essentials,53.07,3,39,Sound Zone,Sonos Inc.
423,P00248442,Home & Kitchen,10.07,3,39,Sound Zone,Sonos Inc.
424,P00172842,Home & Kitchen,65.72,4,18,Game Zone,Razer Inc.
425,P00198142,Electronics,32.77,1,16,Electro Mart,Sony Corporation
426,P00282142,Home & Kitchen,18.9,4,18,Game Zone,Razer Inc.
427,P00166942,Electronics,54.93,7,17,Health Zone,Garmin Ltd.
428,P00187742,Electronics,74.88,2,13,Tech Haven,Samsung Electronics
429,P00003442,Clothing,17.25,4,18,Game Zone,Razer Inc.
430,P00060242,Home & Kitchen,28.61,6,9,Photo World,Canon Inc.
431,P00137642,Home & Kitchen,41.77,2,13,Tech Haven,Samsung Electronics
433,P00126142,Toys,67.64,3,39,Sound Zone,Sonos Inc.
434,P00219842,Health & Beauty,61.68,1,16,Electro Mart,Sony Corporation
435,P00046142,Grocery,37.42,1,16,Electro Mart,Sony Corporation
437,P00328142,Toys,21.76,4,18,Game Zone,Razer Inc.
438,P00255542,Health & Beauty,55.39,1,16,Electro Mart,Sony Corporation
439,P00250842,Toys,58.33,4,18,Game Zone,Razer Inc.
440,P00260142,Health & Beauty,19.47,5,18,InnoTech,Razer Inc.
441,P0097142,Pets,30.32,3,39,Sound Zone,Sonos Inc.
442,P00209842,Health & Beauty,48.78,2,13,Tech Haven,Samsung Electronics
443,P00212942,Health & Beauty,10.25,6,9,Photo World,Canon Inc.
444,P00283942,Health & Beauty,15.87,4,18,Game Zone,Razer Inc.
