,Customer_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status
1729,1000276,M,46-50,16,C,4,0
1730,1000278,M,46-50,18,C,4,1
1737,1000279,M,26-35,14,C,3,0
1738,1000280,M,51-55,7,C,0,1
1741,1000281,F,36-45,0,A,2,0
1742,1000282,M,26-35,17,C,4,1
1744,1000284,M,26-35,12,B,3,1
1770,1000285,F,36-45,0,A,1,0
1775,1000287,M,51-55,13,B,1,1
1783,1000289,F,26-35,0,C,1,0
1787,1000291,M,36-45,12,B,2,0
1790,1000292,M,36-45,7,C,0,1
1792,1000293,M,55+,1,C,1,1
1807,1000295,M,18-25,0,C,4,0
1815,1000296,M,51-55,5,C,4,1
1820,1000297,M,18-25,2,C,3,1
1822,1000298,F,18-25,4,C,2,0
1823,1000299,M,26-35,12,C,4,0
1828,1000300,M,26-35,7,B,4,1
1844,1000301,M,18-25,4,B,4,0
1855,1000302,M,18-25,4,B,4,0
1892,1000303,M,26-35,7,C,1,1
1902,1000304,M,26-35,0,B,1,0
1903,1000305,F,18-25,0,B,3,1
1906,1000306,M,18-25,0,C,3,0
1915,1000307,M,51-55,16,B,0,1
1923,1000308,M,26-35,2,A,3,1
1942,1000309,M,26-35,4,B,1,0
1947,1000310,F,18-25,4,C,1,0
1955,1000311,M,18-25,4,C,3,1
1957,1000312,F,51-55,2,B,0,0
1959,1000313,F,18-25,4,A,4,0
1961,1000314,F,55+,9,C,1,0
1977,1000315,F,55+,1,A,3,1
1978,1000316,M,55+,13,C,1,0
1981,1000318,F,55+,13,A,1,1
1983,1000319,F,51-55,6,B,3,1
2006,1000320,M,36-45,6,C,4,0
2008,1000321,M,18-25,4,B,3,0
2016,1000322,M,55+,17,A,3,1
2019,1000323,M,46-50,12,C,1,0
2025,1000324,M,36-45,17,B,0,1
2026,1000325,F,51-55,3,A,1,0
2029,1000326,M,51-55,11,B,1,1
2057,1000327,M,36-45,18,C,4,0
2072,1000328,M,36-45,12,C,2,0
2073,1000329,M,36-45,7,A,1,0
2096,1000330,M,55+,7,C,2,0
2098,1000331,M,26-35,7,B,1,0
2124,1000332,M,51-55,1,C,3,1
2125,1000333,M,36-45,2,A,0,1
2139,1000334,F,55+,2,A,3,1
2143,1000335,M,36-45,18,C,0,1
2153,1000336,M,18-25,0,C,4,0
2154,1000337,M,18-25,19,C,0,0
2158,1000338,M,36-45,7,A,1,0
2175,1000339,M,51-55,7,C,1,1
2181,1000340,F,26-35,3,C,1,1
2188,1000342,M,18-25,12,C,4,0
2197,1000343,F,36-45,3,B,2,0
2204,1000344,M,36-45,14,C,1,1
2208,1000345,M,26-35,12,A,2,1
2210,1000346,F,26-35,0,B,2,0
2227,1000347,F,55+,1,A,1,0
2233,1000348,M,51-55,7,B,2,1
2236,1000349,M,0-17,10,C,0,0
2252,1000350,M,46-50,20,C,3,0
2258,1000351,M,18-25,4,A,4,0
2263,1000352,M,18-25,4,A,0,0
2299,1000353,F,36-45,7,C,1,1
2301,1000354,M,36-45,1,A,1,0
2303,1000355,M,18-25,3,B,2,0
2322,1000356,M,55+,20,C,0,1
2323,1000357,M,18-25,0,A,4,0
2325,1000359,M,26-35,17,B,1,0
2326,1000360,M,36-45,17,C,1,0
2328,1000362,M,36-45,20,B,1,0
2331,1000363,M,18-25,10,B,1,1
2333,1000365,F,18-25,4,A,1,0
2337,1000366,M,51-55,15,B,1,1
2344,1000368,M,26-35,0,C,1,0
2350,1000369,M,36-45,1,B,2,0
2357,1000370,M,18-25,17,C,3,0
2359,1000371,M,18-25,4,B,4,0
2365,1000372,F,18-25,4,C,2,0
2371,1000374,F,36-45,14,C,0,0
2373,1000375,M,26-35,2,B,1,0
2375,1000376,M,36-45,1,C,4,1
2382,1000377,M,26-35,17,B,2,0
2392,1000379,F,36-45,1,C,4,0
2394,1000380,M,26-35,2,C,1,0
2401,1000381,M,36-45,17,C,2,0
2402,1000382,F,36-45,20,B,0,1
2404,1000383,F,26-35,7,A,4,1
2405,1000384,M,26-35,11,B,3,1
2406,1000385,M,26-35,6,C,1,0
2412,1000386,M,26-35,0,A,1,1
2418,1000387,F,36-45,7,C,0,0
2421,1000388,F,26-35,0,B,3,1
2423,1000389,M,26-35,6,C,0,0
2428,1000390,M,26-35,4,A,0,0
2437,1000391,M,46-50,11,C,2,1
2440,1000392,M,18-25,7,A,0,0
2454,1000393,M,36-45,17,C,4,0
2456,1000394,M,18-25,0,C,1,0
2458,1000396,M,26-35,1,C,1,0
2464,1000397,M,36-45,17,B,2,0
2466,1000398,M,26-35,17,B,3,1
2476,1000399,F,36-45,6,B,1,1
2480,1000400,F,18-25,3,C,2,1
2484,1000401,M,18-25,0,B,3,0
2487,1000402,M,26-35,11,B,1,1
2495,1000403,M,18-25,4,A,2,0
2510,1000405,M,55+,1,C,2,0
2511,1000406,M,26-35,20,A,3,0
2523,1000408,M,26-35,11,A,0,0
2530,1000409,M,18-25,12,B,4,0
2546,1000410,F,26-35,1,B,4,0
2549,1000411,F,46-50,1,B,0,1
2567,1000412,M,36-45,15,A,1,1
2587,1000413,M,26-35,11,C,0,0
2593,1000414,M,26-35,0,C,4,0
2594,1000415,F,36-45,0,A,2,1
2606,1000416,M,46-50,14,C,3,1
2607,1000417,F,26-35,0,C,0,1
2608,1000418,F,26-35,3,B,0,1
2609,1000419,M,18-25,3,C,1,0
2611,1000420,M,36-45,1,A,1,0
2613,1000421,F,46-50,3,A,1,1
2614,1000422,M,55+,17,A,4,0
2616,1000423,M,18-25,4,A,1,0
2619,1000424,M,26-35,17,A,3,0
2671,1000425,M,26-35,12,B,1,1
2681,1000426,M,18-25,4,A,1,1
2692,1000429,M,18-25,0,C,1,0
2708,1000430,F,18-25,10,C,1,1
2709,1000431,M,18-25,10,B,3,0
2710,1000433,M,51-55,6,C,3,1
2711,1000434,F,46-50,3,C,1,0
2713,1000435,M,26-35,7,A,4,0
2721,1000436,M,18-25,4,C,1,0
2725,1000437,M,36-45,17,C,2,1
2726,1000438,M,18-25,11,A,3,0
2749,1000439,M,36-45,14,B,3,1
2754,1000442,M,26-35,1,A,2,0
2764,1000443,M,26-35,3,A,0,1
2766,1000444,M,55+,0,A,3,0
2772,1000445,M,46-50,12,A,1,1
2782,1000446,F,51-55,0,C,2,0
2785,1000447,F,46-50,11,A,1,0
2786,1000448,M,26-35,17,C,0,0
2788,1000449,M,26-35,7,C,3,0
2792,1000450,M,46-50,1,C,1,1
2793,1000451,M,55+,13,C,4,1
2800,1000452,M,51-55,17,A,3,1
2803,1000453,M,18-25,4,B,1,0
2817,1000454,M,26-35,20,C,2,1
2829,1000456,M,36-45,0,A,0,0
2834,1000457,M,18-25,4,B,2,0
2850,1000458,M,51-55,16,C,1,1
2851,1000459,F,18-25,4,A,3,0
2852,1000460,M,46-50,18,C,2,0
2854,1000461,M,51-55,7,B,0,0
2875,1000462,M,18-25,16,C,1,1
2880,1000463,M,26-35,7,A,4,1
2884,1000464,F,18-25,4,A,3,0
2886,1000465,M,18-25,19,C,2,0
2887,1000466,M,26-35,5,A,2,0
2901,1000467,F,36-45,3,B,4,1
2905,1000468,F,0-17,10,B,1,0
2906,1000469,M,36-45,6,B,0,1
2907,1000470,F,0-17,10,C,2,0
2908,1000471,M,36-45,7,A,3,0
2910,1000473,F,18-25,4,A,1,0
2913,1000474,M,26-35,17,B,1,0
2930,1000476,M,36-45,0,B,0,0
2953,1000477,M,36-45,14,A,1,0
2958,1000478,M,51-55,16,A,2,0
2959,1000479,M,26-35,12,C,0,0
2960,1000480,F,18-25,4,C,1,0
2964,1000481,M,46-50,7,C,2,0
2968,1000482,M,26-35,14,A,2,1
3007,1000483,M,18-25,12,A,4,0
3010,1000484,F,0-17,10,A,2,0
3011,1000486,M,55+,0,C,0,0
3012,1000487,F,36-45,17,B,0,1
3014,1000490,M,0-17,10,B,1,0
3019,1000492,M,26-35,12,A,0,0
3020,1000493,M,51-55,7,C,1,1
3021,1000496,M,18-25,4,A,3,0
3025,1000498,M,36-45,17,A,1,0
3033,1000499,F,26-35,1,A,1,0
3042,1000500,F,18-25,2,A,0,0
3047,1000501,M,26-35,2,C,4,1
3051,1000502,M,36-45,6,B,1,0
3052,1000503,M,36-45,11,C,0,1
3053,1000504,M,26-35,2,C,2,0
3054,1000505,M,36-45,17,C,2,1
3059,1000506,M,26-35,16,C,1,0
3063,1000507,F,26-35,0,A,4,1
3065,1000508,M,26-35,12,B,0,0
3076,1000509,M,26-35,2,A,0,1
3106,1000510,M,18-25,12,C,3,0
3110,1000511,F,46-50,4,C,1,1
3111,1000513,M,26-35,0,C,4,0
3119,1000514,M,26-35,2,A,1,1
3120,1000515,M,26-35,1,A,0,1
3123,1000516,F,55+,14,C,2,0
3135,1000517,F,26-35,14,A,1,0
3144,1000518,F,36-45,12,C,4,0
3155,1000519,F,36-45,14,C,4,1
3157,1000520,F,36-45,20,A,2,0
3165,1000522,M,26-35,12,C,1,0
3166,1000523,M,51-55,7,A,1,1
3172,1000524,M,18-25,0,A,0,0
3216,1000525,M,36-45,6,C,2,0
3217,1000526,M,46-50,17,C,1,1
3219,1000529,M,36-45,12,C,1,0
3229,1000530,M,26-35,2,A,1,1
3235,1000531,F,18-25,14,B,0,0
3268,1000532,M,26-35,7,C,2,0
3269,1000533,M,26-35,12,A,1,0
3292,1000534,M,26-35,15,B,3,1
3297,1000535,M,36-45,6,B,3,1
3298,1000536,M,26-35,20,C,1,0
3305,1000539,M,26-35,2,C,4,0
3310,1000540,M,18-25,1,B,1,0
3314,1000541,F,18-25,4,C,3,0
3321,1000543,M,26-35,5,B,4,1
3351,1000544,M,36-45,12,B,2,0
3354,1000545,M,36-45,17,C,2,0
3355,1000546,F,26-35,0,B,0,0
3366,1000547,M,36-45,12,B,3,0
3367,1000548,F,36-45,16,C,1,1
3374,1000549,M,26-35,6,A,3,0
3416,1000550,M,46-50,8,B,1,1
3449,1000551,M,36-45,20,A,4,1
3460,1000552,M,51-55,18,C,3,1
3468,1000553,M,26-35,2,B,1,0
3470,1000554,M,26-35,12,C,0,1
3471,1000555,M,18-25,4,B,4,0
3473,1000556,F,26-35,9,B,4,0
3478,1000557,M,55+,1,A,3,0
3479,1000560,M,46-50,15,C,1,1
3485,1000563,M,26-35,4,A,3,0
3495,1000564,M,46-50,1,C,1,0
3499,1000565,M,26-35,16,B,0,0
3501,1000566,M,26-35,17,A,3,0
3521,1000567,M,36-45,20,C,3,0
3526,1000568,F,51-55,17,C,1,1
3529,1000569,F,18-25,4,C,3,1
3535,1000570,M,26-35,4,A,4,0
3548,1000571,M,51-55,5,C,3,1
3550,1000573,F,36-45,2,B,0,0
3551,1000574,M,26-35,19,C,4,1
3552,1000575,M,26-35,12,B,0,1
3560,1000576,F,46-50,15,C,1,1
3561,1000577,M,36-45,0,A,3,0
3566,1000579,M,26-35,5,C,2,0
3568,1000580,M,0-17,10,C,1,0
3572,1000581,M,51-55,14,C,1,1
3574,1000582,M,18-25,4,C,4,0
3580,1000583,F,26-35,0,A,4,0
3587,1000584,F,26-35,0,B,1,0
3589,1000585,M,18-25,1,A,1,0
3594,1000586,M,36-45,14,C,3,1
3596,1000587,M,26-35,20,B,3,0
3614,1000588,F,26-35,11,B,1,0
3638,1000589,M,18-25,2,A,1,0
3639,1000590,F,36-45,6,C,1,0
3644,1000591,M,26-35,0,C,1,0
3649,1000592,M,18-25,0,A,1,1
3650,1000593,F,51-55,1,C,4,0
3655,1000594,F,55+,13,B,3,0
3661,1000595,M,26-35,7,A,1,0
3668,1000596,F,26-35,1,C,2,1
3669,1000597,M,36-45,12,C,3,1
3672,1000598,M,36-45,7,C,1,1
3674,1000599,M,51-55,6,A,3,1
3676,1000600,M,36-45,17,C,0,1
3678,1000601,F,18-25,20,B,3,1
3687,1000602,F,55+,6,C,2,0
3691,1000603,F,26-35,6,C,1,1
3698,1000604,M,46-50,17,C,2,1
3709,1000605,F,18-25,4,C,0,0
3715,1000606,F,0-17,10,C,2,0
3716,1000608,M,18-25,4,C,3,1
3722,1000609,M,26-35,7,B,1,0
3725,1000610,M,26-35,4,B,1,0
3732,1000611,M,36-45,0,C,1,0
3738,1000612,M,51-55,7,C,1,0
3740,1000613,M,36-45,20,C,1,1
3743,1000615,M,51-55,17,C,3,0
3746,1000616,M,26-35,7,B,2,0
3748,1000617,F,26-35,7,C,1,0
3749,1000618,M,26-35,0,B,3,0
3751,1000619,F,18-25,1,B,0,0
3753,1000620,M,18-25,0,A,3,0
3764,1000622,M,26-35,0,B,1,1
3768,1000623,M,26-35,17,C,3,1
3776,1000624,M,26-35,1,B,3,0
3793,1000625,F,36-45,12,C,2,1
3796,1000626,M,18-25,4,B,4,1
3799,1000627,M,51-55,2,C,2,1
3801,1000628,F,36-45,0,C,2,0
3804,1000629,F,0-17,10,C,2,0
3809,1000630,F,36-45,14,C,2,0
3816,1000631,M,36-45,17,C,3,1
3830,1000632,M,46-50,17,C,2,0
3833,1000633,M,26-35,17,B,4,0
3835,1000634,F,0-17,10,C,4,0
3837,1000635,M,55+,17,C,4,1
3846,1000636,M,18-25,20,C,4,0
3848,1000637,M,36-45,12,B,2,1
3868,1000638,M,26-35,6,C,1,1
3873,1000639,M,46-50,17,B,2,1
3893,1000641,F,36-45,0,A,2,1
3897,1000643,M,26-35,2,C,0,1
3899,1000644,M,26-35,20,C,2,1
3907,1000645,M,36-45,20,A,2,0
3909,1000646,M,36-45,7,C,2,0
3924,1000647,M,36-45,12,B,1,1
3932,1000648,F,26-35,12,B,1,1
3946,1000649,M,26-35,4,B,2,1
3947,1000650,M,26-35,17,C,2,1
3949,1000651,M,36-45,7,B,2,0
3961,1000652,M,18-25,20,C,3,0
3964,1000654,M,51-55,7,C,4,1
3975,1000655,F,26-35,2,B,2,0
3989,1000656,F,46-50,16,C,3,1
3993,1000657,F,51-55,13,C,1,0
3997,1000658,F,26-35,0,B,1,0
3998,1000659,F,26-35,0,C,4,0
4000,1000661,M,46-50,1,C,2,1
4003,1000662,M,18-25,4,B,2,0
4009,1000663,F,26-35,7,A,1,0
4016,1000664,M,36-45,18,C,2,1
4018,1000666,F,18-25,0,C,2,0
4026,1000667,M,26-35,18,C,2,1
4029,1000668,F,26-35,3,C,2,0
4031,1000669,M,26-35,17,B,2,0
4056,1000670,M,26-35,12,B,3,1
4058,1000671,M,18-25,4,C,0,0
4064,1000673,M,26-35,20,A,4,0
4081,1000674,M,26-35,17,C,4,0
4085,1000675,M,26-35,20,C,1,1
4087,1000676,M,18-25,16,B,1,1
4106,1000677,M,51-55,2,B,1,1
4111,1000678,M,26-35,0,A,0,1
4147,1000679,M,36-45,16,C,4,1
4151,1000680,M,26-35,12,C,1,0
4152,1000681,M,36-45,7,C,3,1
4153,1000682,M,26-35,4,C,1,0
4154,1000683,M,26-35,4,A,3,1
4157,1000685,M,26-35,4,A,1,1
4161,1000686,M,18-25,4,A,1,1
4163,1000687,F,26-35,7,C,4,0
4175,1000688,M,55+,13,C,2,1
4177,1000689,F,51-55,0,A,0,1
4181,1000690,M,26-35,12,C,3,0
4188,1000691,M,36-45,11,B,2,1
4190,1000692,F,26-35,0,A,0,1
4211,1000694,M,18-25,4,A,4,0
4212,1000695,F,18-25,1,A,2,0
4220,1000698,M,18-25,4,A,1,0
4232,1000700,M,51-55,17,C,1,1
4234,1000701,F,18-25,4,B,0,0
4237,1000702,M,36-45,7,B,2,1
4254,1000704,F,36-45,8,C,2,0
4258,1000705,M,26-35,4,C,0,1
4262,1000706,M,36-45,20,B,2,0
4270,1000707,M,36-45,7,C,1,0
4274,1000708,M,26-35,0,C,2,0
4275,1000709,M,18-25,0,C,1,0
4277,1000710,M,26-35,20,A,4,0
4308,1000711,M,26-35,18,A,4,0
4314,1000712,M,26-35,0,B,2,0
4329,1000713,M,36-45,7,B,3,0
4339,1000714,M,18-25,4,B,2,0
4362,1000715,M,18-25,0,B,1,0
4364,1000717,M,26-35,11,C,0,0
4367,1000718,M,18-25,2,C,2,0
4375,1000719,M,0-17,0,C,4,0
4376,1000720,M,18-25,0,B,0,0
4386,1000721,F,36-45,9,B,1,0
4410,1000722,M,26-35,12,B,4,0
4411,1000723,M,26-35,12,C,3,1
4412,1000724,M,51-55,13,B,2,1
4423,1000725,M,55+,11,A,1,0
4427,1000726,F,26-35,9,C,0,1
4429,1000727,M,36-45,11,B,4,1
4438,1000728,M,26-35,6,C,4,0
4448,1000729,M,36-45,12,C,0,0
4456,1000730,M,26-35,0,C,4,1
4458,1000731,M,46-50,3,A,0,1
4488,1000732,M,26-35,7,B,4,0
4497,1000733,M,36-45,16,C,1,1
4504,1000734,M,26-35,7,C,1,1
4507,1000735,M,26-35,14,A,3,0
4524,1000736,M,18-25,12,C,0,1
4526,1000737,M,0-17,19,A,2,0
4533,1000738,M,18-25,17,C,1,0
4534,1000739,M,36-45,12,C,3,0
4540,1000740,M,26-35,14,C,1,0
4544,1000741,M,26-35,5,C,1,1
4549,1000742,M,18-25,0,C,1,0
4551,1000743,F,0-17,2,A,2,0
4556,1000744,M,26-35,17,B,2,0
4564,1000746,F,18-25,19,B,3,0
4583,1000748,M,26-35,0,C,4,0
4584,1000749,M,36-45,18,B,0,0
4596,1000750,F,36-45,9,B,4,1
4598,1000751,F,26-35,17,C,3,0
4601,1000752,F,26-35,3,A,3,0
4647,1000753,M,0-17,10,C,1,0
4657,1000754,M,36-45,7,C,3,0
